n,machine_id,round,workload
40000,2,5,22
40000,2,6,23
40000,2,7,26
40000,2,8,23
40000,2,9,18
40000,2,10,24
40000,2,11,14
40000,2,12,18
40000,2,13,13
40000,2,14,9
40000,2,15,2
40000,2,16,4
40000,2,17,3
40000,2,18,3
40000,3,1,15
40000,3,2,13
40000,3,3,29
40000,3,4,24
40000,3,5,30
40000,3,6,19
40000,3,7,27
40000,3,8,24
40000,3,9,20
40000,3,10,16
40000,3,11,7
40000,3,12,14
40000,3,13,10
40000,3,14,3
40000,3,15,10
40000,3,16,5
40000,3,17,2
40000,3,18,3
40000,4,1,5
40000,4,2,15
40000,4,3,32
40000,4,4,24
40000,4,5,13
40000,4,6,16
40000,4,7,33
40000,4,8,20
40000,4,9,12
40000,4,10,16
40000,4,11,17
40000,4,12,10
40000,4,13,9
40000,4,14,12
40000,4,15,7
40000,4,16,6
40000,4,17,1
40000,4,18,3
40000,5,1,8
40000,5,2,16
40000,5,3,23
40000,5,4,19
40000,5,5,16
40000,5,6,26
40000,5,7,36
40000,5,8,20
40000,5,9,18
40000,5,10,12
40000,5,11,16
40000,5,12,10
40000,5,13,14
40000,5,14,8
40000,5,15,7
40000,5,16,7
40000,5,17,0
40000,5,18,2
40000,6,1,10
40000,6,2,20
40000,6,3,22
40000,6,4,24
40000,6,5,25
40000,6,6,29
40000,6,7,30
40000,6,8,23
40000,6,9,15
40000,6,10,13
40000,6,11,16
40000,6,12,22
40000,6,13,18
40000,6,14,3
40000,6,15,4
40000,6,16,5
40000,6,17,1
40000,6,18,2
40000,7,1,7
40000,7,2,19
40000,7,3,24
40000,7,4,24
40000,7,5,17
40000,7,6,29
40000,7,7,28
40000,7,8,18
40000,7,9,24
40000,7,10,12
40000,7,11,15
40000,7,12,18
40000,7,13,16
40000,7,14,3
40000,7,15,7
40000,7,16,7
40000,7,17,1
40000,7,18,1
40000,8,1,6
40000,8,2,17
40000,8,3,24
40000,8,4,20
40000,8,5,25
40000,8,6,15
40000,8,7,24
40000,8,8,23
40000,8,9,20
40000,8,10,17
40000,8,11,17
40000,8,12,14
40000,8,13,15
40000,8,14,7
40000,8,15,7
40000,8,16,4
40000,8,17,0
40000,8,18,2
40000,9,1,8
40000,9,2,15
40000,9,3,19
40000,9,4,22
40000,9,5,15
40000,9,6,17
40000,9,7,31
40000,9,8,22
40000,9,9,14
40000,9,10,26
40000,9,11,14
40000,9,12,13
40000,9,13,11
40000,9,14,6
40000,9,15,5
40000,9,16,4
40000,9,17,3
40000,9,18,2
80000,0,1,16
80000,0,2,25
80000,0,3,33
80000,0,4,33
80000,0,5,55
80000,0,6,42
80000,0,7,46
80000,0,8,46
80000,0,9,37
80000,0,10,41
80000,0,11,43
80000,0,12,36
80000,0,13,20
80000,0,14,25
80000,0,15,6
80000,0,16,6
80000,0,17,5
80000,0,18,4
80000,0,19,3
80000,0,20,0
80000,1,1,14
80000,1,2,20
80000,1,3,29
80000,1,4,41
80000,1,5,40
80000,1,6,48
80000,1,7,56
80000,1,8,45
80000,1,9,50
80000,1,10,28
80000,1,11,30
80000,1,12,28
80000,1,13,24
80000,1,14,22
80000,1,15,12
80000,1,16,2
80000,1,17,13
80000,1,18,2
80000,1,19,5
80000,1,20,3
80000,2,1,6
80000,2,2,20
80000,2,3,25
80000,2,4,38
80000,2,5,46
80000,2,6,55
80000,2,7,58
80000,2,8,45
80000,2,9,36
80000,2,10,35
80000,2,11,33
80000,2,12,29
80000,2,13,22
80000,2,14,12
80000,2,15,13
80000,2,16,7
80000,2,17,3
80000,2,18,4
80000,2,19,3
80000,2,20,3
80000,3,1,20
80000,3,2,22
80000,3,3,26
80000,3,4,44
80000,3,5,48
80000,3,6,42
80000,3,7,46
80000,3,8,41
80000,3,9,49
80000,3,10,48
80000,3,11,40
80000,3,12,33
80000,3,13,21
80000,3,14,18
80000,3,15,6
80000,3,16,9
80000,3,17,7
80000,3,18,6
80000,3,19,5
80000,3,20,2
80000,4,1,21
80000,4,2,17
80000,4,3,32
80000,4,4,31
80000,4,5,43
80000,4,6,35
80000,4,7,51
80000,4,8,51
80000,4,9,47
80000,4,10,35
80000,4,11,28
80000,4,12,23
80000,4,13,23
80000,4,14,14
80000,4,15,13
80000,4,16,3
80000,4,17,8
80000,4,18,3
80000,4,19,2
80000,4,20,0
80000,5,1,12
80000,5,2,10
80000,5,3,31
80000,5,4,33
80000,5,5,55
80000,5,6,56
80000,5,7,68
80000,5,8,57
80000,5,9,38
80000,5,10,29
80000,5,11,28
80000,5,12,43
